index,name,price,product_url
1,"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's",₹498,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYXRmOjIwMDcyMzE5OTc2MjA3OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FASIAN-Mens-Cosco-Walking-Shoes%2Fdp%2FB07FRTXSJF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-1-spons%26psc%3D1
2,"Crystal-13 Sports Running,Walking & Gym Shoes with Crystal Cushion Technology Lightweight Casual Sneaker Shoes for Men's & Boy's","₹1,199",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYXRmOjIwMDc1NTIzMDUyMzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FASIAN-Crystal-13-Running-Technology-Lightweight%2Fdp%2FB09RXMGTM3%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-2-spons%26psc%3D1
3,"Hattrick-21 Men's Sport Shoes | Ideal for Running, Walking & Gym | Lightweight & Casual…",₹624,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYXRmOjIwMDc1NTIyNzA5Mjk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FASIAN-Hattrick-21-Green-Lightweight-Running%2Fdp%2FB09CGTSMY2%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-3-spons%26psc%3D1
4,Men's Loire-z1 Running Shoes,₹699,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NjM2NzA1OTY0NTA2NDA3OjE2NjU0ODQzMzM6c3BfYXRmOjIwMDI0MDQ3NDE4Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FBourge-Loire-1-Running-Shoes-6-Loire-1-Grey-06%2Fdp%2FB07LF6R71L%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dshoes%2Bfor%2Bmen%26qid%3D1665484332%26qu%3DeyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%253D%253D%26s%3Dshoes%26sr%3D1-4-spons%26psc%3D1
5,Men's OXYFIT (N) Walking Shoe,₹599,https://www.amazon.com/Campus-OXYFIT-Walking-Shoes-India/dp/B09RPPR4S2/ref=sr_1_5?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-5
6,Men's Adivat M Running Shoes,₹999,https://www.amazon.com/Adidas-Adivat-Running-Conavy-FTWWHT/dp/B08TLXTR74/ref=sr_1_6?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-6
7,Men's Wonder-13 Sports Running Shoes,₹428,https://www.amazon.com/ASIAN-Wonder-Firozi-Sports-Indian/dp/B01MTQ5M7B/ref=sr_1_7?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-7
8,"Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's",₹498,https://www.amazon.com/ASIAN-Mens-Cosco-Walking-Shoes/dp/B07FRTXSJF/ref=sr_1_8?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-8
9,Mens Gel-Quantum 180 VII Platform,"₹10,999",https://www.amazon.com/ASICS-Gel-Quantum-Black-Sports-Shoes/dp/B0B6G7NSJD/ref=sr_1_9?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-9
10,Men's Clinch-X M Running Shoe,"₹1,099",https://www.amazon.com/Adidas-Mens-Clinch-X-Running-Black/dp/B08FZS992L/ref=sr_1_10?keywords=shoes+for+men&qid=1665484332&qu=eyJxc2MiOiIxMi41OSIsInFzYSI6IjEyLjY2IiwicXNwIjoiMTAuMzcifQ%3D%3D&s=shoes&sr=1-10
